TARGET_B,ID,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
0,42399,,1,1,1,1,25,25,25,25,17,17,11,16,14,5,7,6,F,0,42,63,F,U,"$93,800 ",38,"$35,314 "
0,42444,,9,27,4,11,6,6.22,5.48,5.5,18,68,13,35,59,6,17,23,S,1,49,69,M,H,"$64,800 ",24,"$36,042 "
0,42462,,6,16,5,11,6,11.67,9.69,11.6,15,114,14,33,65,6,17,29,S,1,43,46,M,H,"$69,600 ",42,"$36,042 "
0,1264,,1,2,1,1,15,15,10,15,23,56,8,19,24,3,8,9,N,0,28,71,M,H,"$68,900 ",41,"$36,042 "
0,42344,,2,4,0,1,16,13,10.5,,20,42,12,32,33,6,6,14,A,0,30,37,F,H,"$60,800 ",32,"$36,042 "
0,42443,,1,9,0,3,25,25,18.89,,18,67,13,33,56,6,6,21,S,1,43,,F,U,"$75,000 ",26,"$36,042 "
0,42478,,1,3,0,0,15,15,12.33,,18,52,11,22,31,4,4,11,A,0,40,73,F,H,"$42,400 ",42,"$44,003 "
1,42501,15,3,5,1,2,15,9.67,9.8,11,18,40,12,32,35,6,15,14,A,1,53,77,F,H,"$33,500 ",21,"$32,263 "
1,42509,12,2,12,0,7,10,10,10.33,,18,89,14,33,61,5,5,22,A,1,33,75,M,H,"$69,800 ",52,"$32,263 "
1,42499,10,4,6,4,4,5,7.5,6.67,7.5,18,33,12,28,28,6,15,13,S,1,48,68,M,H,"$68,000 ",40,"$32,263 "
0,8436,,1,19,1,4,15,15,13.26,15,17,198,16,30,61,8,15,19,A,0,37,84,F,H,"$60,300 ",52,"$40,839 "
1,42543,20,4,4,2,2,14,8.75,8.75,8,18,27,16,29,27,6,12,10,A,1,46,,M,U,"$41,900 ",16,"$34,330 "
1,42548,11,2,13,0,9,11,11,8.77,,18,126,14,33,68,5,5,28,A,1,41,73,F,H,"$39,800 ",24,"$17,589 "
0,42574,,1,10,1,6,15,15,11.3,15,20,101,11,26,63,4,10,26,A,1,22,68,F,H,"$81,900 ",51,"$39,664 "
0,188283,,3,19,1,11,10,8.33,7.53,5,6,131,22,42,83,7,16,33,A,1,27,79,F,H,"$101,000 ",34,"$39,664 "
0,11543,,3,13,3,5,20,16.33,13.46,16.33,17,56,23,43,71,6,17,21,A,1,28,59,F,H,"$58,600 ",43,"$36,879 "
1,42589,15,2,4,2,3,15,12.5,9.75,12.5,17,53,14,33,41,6,14,15,A,0,28,69,F,H,"$82,200 ",44,"$36,879 "
1,33190,11,4,25,2,13,12,10.75,7.16,11,21,102,14,33,71,6,15,27,S,1,24,44,F,U,"$101,000 ",40,$0 
0,42618,,3,13,1,7,15,11,7,15,21,122,13,34,67,6,16,27,A,1,28,77,F,H,"$78,700 ",44,"$55,303 "
0,4300,,5,61,3,17,15,15.4,10.64,16,15,123,38,56,122,6,14,26,A,1,0,68,M,U,"$71,200 ",0,"$38,464 "
1,42686,20,1,1,1,1,20,20,20,20,21,21,11,18,16,4,7,6,F,0,28,,F,H,"$82,400 ",63,"$46,780 "
0,10895,,2,10,0,2,25,22.5,13.1,,18,65,20,37,65,4,4,18,A,0,28,72,M,H,"$75,000 ",40,"$46,780 "
1,42689,4,7,7,4,4,5,3.86,3.86,3.5,21,34,12,29,30,6,15,13,A,1,29,,F,U,"$71,100 ",51,$0 
1,42724,25,2,3,0,1,17,12,9.67,,26,52,11,24,34,4,4,11,A,0,30,61,M,U,"$44,000 ",17,"$38,632 "
1,42937,20,2,7,1,2,20,20,15.57,20,16,104,15,35,60,6,15,21,A,0,46,50,M,H,"$94,400 ",37,"$38,632 "
0,42791,,3,11,1,7,15,11.67,9.27,10,18,107,14,25,47,6,12,22,S,1,28,,F,H,"$123,100 ",45,"$49,147 "
1,42776,16,3,3,3,3,17,14,14,14,17,33,12,30,28,6,14,12,A,0,23,,M,H,"$138,500 ",39,"$49,147 "
1,42778,10,1,4,0,0,15,15,10,,26,44,9,29,34,4,4,14,A,0,33,41,F,U,"$73,100 ",48,"$49,147 "
0,42856,,1,4,1,3,30,30,20,30,19,88,13,23,46,6,10,17,A,0,31,64,M,H,"$50,400 ",24,"$25,380 "
1,42878,10,4,8,3,4,10,7.25,6.13,6.33,19,41,13,33,37,6,16,15,A,1,29,75,F,H,"$59,500 ",44,"$38,261 "
0,42931,,2,14,0,7,26,26,14.86,,17,110,14,36,76,6,6,30,A,1,23,69,F,U,"$108,100 ",44,"$53,324 "
0,42907,,2,2,2,2,15,10,10,10,24,32,10,25,23,4,10,9,A,0,23,39,F,U,"$159,800 ",64,"$53,324 "
1,42913,5,5,10,3,5,15,9.4,7.2,10,16,56,13,33,50,6,16,19,A,1,28,51,M,H,"$95,000 ",47,"$53,324 "
0,42940,,3,9,3,7,11,10.33,9.22,10.33,21,53,12,22,29,5,10,12,S,1,34,75,F,H,"$353,000 ",42,"$174,305 "
1,43492,12,2,12,1,10,13,12,7,11,18,109,14,29,51,6,13,23,S,1,18,,F,U,"$66,500 ",51,$0 
0,42983,,3,7,2,4,21,22,19.14,22.5,16,53,13,33,43,6,17,19,S,1,28,76,M,H,"$123,500 ",55,"$50,351 "
1,42997,7,5,16,1,6,7,7.4,6.56,7,19,77,7,27,51,3,13,21,S,1,23,79,F,H,"$156,700 ",39,"$52,313 "
1,43013,20,1,5,0,4,20,20,12.4,,19,93,11,22,50,4,4,18,A,0,49,75,F,U,"$69,700 ",26,"$35,119 "
0,43011,,7,11,4,6,20,14.57,14.45,13,16,89,14,35,56,6,16,22,A,0,49,61,M,H,"$78,300 ",18,"$35,119 "
1,70144,15,3,12,0,6,21,17,13.58,,20,115,13,34,74,6,6,29,S,1,21,80,F,U,"$58,500 ",34,"$39,015 "
1,43020,15,1,1,1,1,15,15,15,15,24,24,7,17,15,3,7,6,N,0,28,,F,U,"$73,600 ",48,$0 
0,43071,,2,11,2,8,11,11,8.45,11,19,86,13,24,42,6,12,19,A,1,37,45,F,H,"$70,800 ",42,$0 
1,190108,5,5,6,4,4,8,6.4,6,6.25,17,33,4,11,12,2,6,6,E,1,28,,F,U,"$99,500 ",62,$0 
0,189309,,5,18,1,5,1,14,8.22,20,4,64,14,35,53,6,17,21,A,1,28,73,F,U,"$71,400 ",44,"$41,061 "
0,43165,,1,8,1,4,30,30,17.13,30,25,77,11,33,57,6,17,23,A,0,28,74,M,H,"$92,500 ",51,"$41,061 "
0,43187,,3,9,0,2,20,3.67,5.11,,18,51,13,34,40,6,6,17,A,0,23,68,F,H,"$173,000 ",61,"$50,021 "
0,69455,,3,16,3,12,100,56.67,18.31,56.67,18,112,9,21,59,4,12,25,S,1,35,86,M,H,"$52,400 ",31,"$50,021 "
1,43235,15,2,5,1,4,16,15,12.8,16,21,64,12,30,47,6,14,18,A,0,28,,U,U,"$63,900 ",51,$0 
1,43226,20,2,2,2,2,20,15,15,15,22,29,10,23,22,4,10,9,A,0,28,75,M,H,"$76,400 ",44,"$37,377 "
0,43232,,4,5,3,3,5,10.25,10.6,9,17,44,12,30,36,6,15,15,A,0,33,83,F,H,"$40,800 ",49,"$37,377 "
1,190408,7,3,10,2,6,10,8.33,6.6,10,19,110,4,12,36,2,6,17,E,1,28,66,U,U,"$71,300 ",45,$0 
1,43010,25,2,4,1,1,25,20,17,25,22,65,15,35,46,6,15,15,A,0,42,52,F,H,"$56,000 ",31,$0 
1,128975,15,7,15,5,7,11,9.29,8.27,9.4,16,56,15,36,52,6,17,20,A,1,18,37,M,H,$0 ,45,$0 
0,43549,,1,4,0,1,15,15,11.75,,18,56,11,28,39,5,5,15,A,0,10,,M,U,$0 ,0,$0 
1,187417,45,3,3,2,2,10,10.67,10.67,10,16,23,5,9,8,1,3,3,E,0,10,,M,U,$0 ,0,$0 
1,43101,10,4,19,2,9,15,18.25,19,18,16,109,9,24,62,4,13,27,S,1,23,48,F,U,"$237,900 ",38,$0 
1,43086,20,3,3,2,2,7,7.33,7.33,6,17,24,12,23,21,6,11,9,N,0,26,72,F,U,"$79,500 ",28,$0 
1,43119,9,3,4,2,2,6,6.33,6.25,4.5,17,28,13,26,26,6,12,10,A,0,28,,F,U,"$84,500 ",37,"$73,831 "
0,43137,,3,8,0,3,10,10,9.13,,16,72,15,34,52,5,5,19,A,0,23,57,U,U,"$150,700 ",47,$0 
1,43126,5,7,8,5,5,5,4.86,4.88,4.6,16,32,13,30,29,6,14,12,A,1,28,48,F,U,"$84,500 ",37,$0 
0,4869,,4,10,4,4,10,12,13.3,12,9,114,28,47,64,8,17,18,A,1,23,77,F,U,"$385,400 ",63,$0 
1,43052,5,4,9,3,5,15,10,8.11,10,18,64,7,27,41,4,13,17,A,0,23,43,F,U,"$203,800 ",51,$0 
1,43333,5,5,9,3,6,5,4.6,4.11,4.33,17,50,13,31,38,6,14,15,S,1,26,72,F,U,"$72,500 ",36,$0 
1,43321,25,1,1,1,1,25,25,25,25,21,21,12,19,17,4,7,6,N,0,23,74,U,U,"$145,200 ",52,$0 
0,43397,,5,6,4,5,10,8.6,8,10,21,28,12,26,26,6,14,12,A,1,40,62,M,U,"$88,400 ",30,$0 
1,42970,3,6,14,5,9,4,4.5,4.43,4.4,16,65,9,25,42,5,15,19,A,1,37,,M,U,"$88,400 ",50,$0 
1,43001,15,1,1,0,0,15,15,15,,15,15,7,9,9,2,2,3,E,0,28,,F,U,"$116,700 ",37,$0 
0,43311,,2,4,1,2,20,15.5,9.75,11,15,52,10,23,29,3,8,10,E,0,37,23,M,U,"$50,200 ",0,$0 
1,43066,15,2,4,0,2,15,13,9.5,,18,53,12,31,38,6,6,16,A,0,40,45,M,U,"$154,400 ",32,$0 
1,43559,2,4,30,1,15,5,4.5,3.57,5,16,130,12,30,73,5,13,30,S,1,42,84,M,U,"$132,200 ",34,"$73,930 "
0,43562,,1,2,1,1,10,15,12.5,15,18,21,14,22,19,6,10,8,N,0,18,41,M,H,"$76,900 ",32,"$43,692 "
1,43564,20,1,1,1,1,20,20,20,20,24,24,7,17,15,3,7,6,N,0,28,52,M,H,"$116,500 ",49,"$43,692 "
0,126195,,1,1,0,0,20,20,20,,15,15,10,14,12,5,5,6,F,0,15,47,F,H,"$87,400 ",10,"$43,692 "
0,43662,,5,9,1,3,15,15,14.56,15,17,57,14,36,49,6,17,20,A,0,28,37,M,H,"$62,000 ",44,"$34,491 "
1,43663,10,6,18,4,7,3,8.33,6.39,7.5,15,69,8,19,38,4,12,15,A,0,33,17,F,H,"$62,000 ",33,"$34,491 "
0,185505,,3,21,2,13,10,10,9.43,10,6,128,30,51,97,8,18,38,S,1,33,,F,U,"$64,100 ",36,$0 
1,2809,25,2,13,2,11,10,13.5,10.46,13.5,17,130,22,32,69,9,13,29,A,1,24,29,F,H,"$121,900 ",43,"$54,028 "
1,43674,10,2,14,0,10,10,10,5.71,,17,130,6,17,38,2,2,13,S,1,29,,F,U,"$88,800 ",53,$0 
0,43748,,1,6,0,2,25,25,34.17,,25,110,5,13,38,2,2,19,E,0,28,,F,U,"$88,800 ",34,$0 
0,43764,,4,10,3,8,12,13.5,14.7,14.67,17,69,15,36,60,6,17,23,S,1,26,74,M,H,"$91,200 ",48,"$50,162 "
1,11348,5,2,12,1,5,17,12.5,12.17,17,17,76,35,54,99,11,20,28,A,1,26,,M,U,"$91,200 ",48,$0 
0,43762,,4,7,2,3,12,14,10.86,11,16,65,15,34,47,6,14,16,A,0,26,82,M,H,"$79,800 ",40,"$50,162 "
1,43781,10,3,8,2,5,5,8.33,6.13,8,16,77,14,25,46,5,9,15,S,1,26,67,M,H,"$106,900 ",31,"$51,488 "
1,43802,6,6,24,4,10,6,6.5,8.96,6.5,15,81,15,36,74,6,17,26,S,1,33,78,F,H,"$75,600 ",53,"$42,230 "
1,43799,20,2,6,1,2,20,16,13.17,20,17,76,13,33,51,6,15,19,A,0,40,39,F,H,"$104,400 ",35,"$42,230 "
0,43862,,5,27,2,12,12,10.4,5.63,10,18,127,13,35,82,6,17,34,S,1,29,,F,H,"$80,100 ",0,"$42,155 "
1,2235,12,6,17,5,9,25,16.67,10.47,16,6,69,26,47,76,11,22,29,S,1,29,65,M,H,"$87,800 ",53,"$42,155 "
0,6064,,2,13,1,4,20,15,12.31,20,4,119,26,39,74,4,9,13,A,1,30,,M,H,"$72,600 ",47,"$39,689 "
1,43884,5,5,21,4,9,3,6,5.29,5.75,18,111,10,27,67,5,15,28,S,1,33,65,M,H,"$64,500 ",57,"$39,689 "
1,6403,10,3,26,3,10,10,10,10.12,10,4,118,37,57,126,6,15,30,A,1,27,70,M,H,"$67,700 ",24,"$50,359 "
0,43952,,2,6,1,5,18,17,11,16,26,93,9,28,50,4,12,20,A,1,27,76,F,H,"$86,500 ",34,"$50,359 "
1,43949,6,7,14,2,4,5,6,6.71,8,16,86,14,34,63,6,15,23,A,1,28,78,M,H,"$88,100 ",42,"$50,359 "
1,43927,25,1,2,1,2,20,20,15,20,20,35,10,22,21,4,9,9,A,0,27,47,M,H,"$86,500 ",34,"$50,359 "
1,44009,20,1,8,1,3,20,20,9.38,20,18,81,13,31,53,6,14,21,A,1,18,86,F,H,"$108,600 ",28,"$51,648 "
1,43998,22,3,4,0,0,25,19.67,16.75,,18,44,15,32,35,6,6,13,A,0,28,76,M,H,"$76,800 ",31,"$51,648 "
0,43981,,1,1,1,1,15,15,15,15,17,17,10,15,13,4,6,5,F,0,18,39,F,U,"$72,600 ",35,"$51,648 "
1,13288,20,6,10,5,6,20,17,15.3,19,8,41,29,48,56,6,16,16,S,1,28,48,F,H,"$89,600 ",48,"$57,365 "
1,44060,100,2,5,1,2,30,27.5,28,25,26,68,10,31,51,5,15,20,A,0,28,78,M,U,"$89,600 ",48,$0 
0,44091,,5,8,3,5,9,9.2,7.5,9,19,75,11,28,45,5,13,18,A,0,23,73,F,H,"$114,300 ",40,"$50,000 "
0,44121,,2,30,2,17,10,10,10.23,10,21,130,10,28,79,4,12,31,A,1,28,85,M,H,"$66,000 ",37,"$35,963 "
0,190119,,3,4,2,3,15,12,10.25,13,15,40,4,12,13,2,6,7,E,0,23,,F,U,"$131,800 ",46,$0 
1,44154,30,1,2,0,1,20,20,15,,26,53,10,24,32,4,4,12,A,0,24,55,F,U,"$138,200 ",39,$0 
1,43974,5,6,11,4,7,6,4.67,3.82,4.25,18,63,12,32,45,6,16,19,A,1,18,51,M,H,"$186,900 ",28,"$82,900 "
0,42238,,3,20,2,12,9,7.67,22.8,7,18,111,14,30,66,5,12,25,S,1,50,,U,U,"$98,900 ",30,$0 
1,44243,20,2,6,0,3,14,16,12.67,,18,68,13,30,48,6,6,18,A,1,23,81,F,U,"$160,300 ",49,"$50,864 "
0,44287,,10,11,6,6,5,5.5,5.45,5.83,17,35,13,30,29,6,15,13,A,1,37,,F,U,"$55,800 ",43,$0 
1,6443,20,1,13,1,3,25,25,14.69,25,21,93,24,43,85,6,15,18,A,0,37,72,M,H,"$59,500 ",46,"$37,481 "
1,591,25,5,12,4,6,20,29,26.25,28.25,16,109,28,48,108,11,22,43,A,1,37,80,M,H,"$71,100 ",58,"$37,481 "
0,44303,,4,17,3,13,10,9.5,7.82,9.33,20,110,13,32,73,6,17,29,S,1,29,72,M,U,"$60,400 ",61,"$37,481 "
1,190727,11,3,15,2,8,11,9,6.93,8,26,98,9,27,59,4,13,25,A,1,0,80,F,U,"$65,500 ",40,"$37,481 "
0,190090,,4,5,3,4,15,13,12.8,13.33,18,33,4,11,11,2,6,6,E,1,37,,U,U,"$66,700 ",23,$0 
1,44370,5,5,18,4,13,5,5,4.44,5,15,128,10,30,62,5,14,29,S,1,29,82,F,H,"$122,600 ",60,"$45,651 "
1,427,10,3,11,3,5,10,10,9.55,10,18,80,15,35,59,6,17,25,A,0,28,,M,U,"$70,900 ",39,$0 
1,5546,10,3,18,1,9,10,11.67,9.44,10,18,111,13,34,77,7,17,33,A,1,28,78,F,U,"$71,700 ",51,$0 
1,44351,35,1,5,0,2,20,20,9.4,,19,66,15,31,48,6,6,17,A,0,29,79,M,H,"$94,800 ",53,"$45,651 "
1,44336,15,1,1,1,1,15,15,15,15,17,17,10,15,13,4,6,5,F,0,29,32,F,H,"$94,800 ",53,"$45,651 "
0,44383,,1,1,1,1,15,15,15,15,17,17,10,15,13,4,6,5,F,0,41,37,M,U,"$44,200 ",29,"$34,101 "
0,44395,,4,12,2,5,13,12,8.92,11.5,18,63,13,35,53,6,17,21,A,1,41,71,F,H,"$58,300 ",37,$0 
1,44406,10,5,16,3,6,10,6,4.63,5,17,122,13,35,63,6,17,27,A,1,28,58,F,H,"$94,500 ",47,"$35,641 "
0,44418,,4,19,3,15,5,5,3.89,5,16,127,12,30,69,5,13,28,S,1,36,75,M,H,"$66,600 ",42,"$41,687 "
1,44410,8,4,11,1,3,10,8.5,6.91,9,15,54,7,23,32,4,13,15,A,1,36,72,M,H,"$56,500 ",48,"$41,687 "
1,44419,2,3,10,1,4,6,14.67,9.6,13,15,52,18,34,37,7,15,16,A,0,28,,F,U,"$72,600 ",56,$0 
1,44433,10,4,6,1,2,15,13.5,11,10,17,64,12,33,50,5,15,18,A,0,28,74,M,H,"$60,600 ",52,"$39,772 "
0,44431,,1,2,1,1,15,15,12.5,15,16,40,10,25,26,4,10,10,A,0,29,51,M,H,"$63,100 ",61,"$39,772 "
0,44442,,6,19,3,7,10,10,9.53,10,19,119,13,35,69,6,17,31,A,1,45,59,M,H,"$57,400 ",45,"$34,010 "
0,44441,,4,14,1,4,16,15,10.5,15,18,67,13,34,57,6,17,23,S,1,45,,F,H,"$62,700 ",45,"$34,010 "
0,44464,,2,22,1,12,10,10,3.82,10,22,102,12,22,54,6,10,24,S,1,37,73,M,H,"$45,300 ",62,$0 
0,44491,,5,5,2,2,10,10.4,10.4,10,18,32,12,28,26,6,14,12,A,0,36,52,F,H,"$56,500 ",47,"$31,388 "
0,36963,,2,6,2,4,15,10,5.83,10,24,68,6,15,26,4,9,12,A,0,34,,U,U,"$81,300 ",47,$0 
1,44500,5,7,16,4,7,8,9,7.59,8,16,89,15,36,64,6,16,24,A,1,48,52,F,H,"$68,600 ",49,"$30,640 "
0,44499,,5,14,2,7,12,12,9.29,11,18,88,14,35,61,6,17,25,S,1,48,58,F,H,"$58,400 ",48,"$30,640 "
0,44505,,3,3,1,1,15,8.33,8.33,5,15,29,11,22,21,4,9,8,A,0,37,,M,H,"$65,900 ",36,"$37,418 "
0,187561,,3,4,2,3,20,10.67,9.25,12.5,16,41,6,14,17,2,6,7,E,0,37,,M,U,"$66,700 ",43,$0 
1,13796,20,4,9,2,4,16,11,9.67,8,16,45,26,45,57,7,17,20,S,1,41,,M,H,"$65,600 ",52,$0 
1,44582,5,8,28,6,17,3,4.38,3.36,3.67,15,130,13,34,69,6,17,31,S,1,41,78,M,H,"$42,700 ",57,"$36,654 "
0,44593,,2,2,1,1,15,10,10,5,18,24,12,23,20,6,11,9,N,0,37,,M,U,"$68,700 ",49,"$37,451 "
1,44634,10,4,7,3,4,10,10,7.29,10,17,88,13,24,46,6,11,16,A,1,26,60,M,H,"$71,000 ",34,"$53,722 "
1,44657,5,7,15,5,8,5,4.14,4,4.2,17,81,13,26,52,6,13,19,A,1,39,55,M,H,"$58,300 ",32,"$37,323 "
1,188801,15,4,14,3,7,5,10.75,8.64,10.67,5,67,17,35,56,8,17,23,A,1,28,,U,U,"$57,700 ",43,"$35,075 "
1,44715,12,1,16,0,10,10,10,7.19,,17,110,12,25,52,5,5,23,A,1,28,71,F,H,"$64,600 ",55,"$39,302 "
1,44705,15,3,5,1,2,12,11.33,9.8,12,18,41,11,31,34,5,14,14,A,0,29,71,F,H,"$67,700 ",63,"$39,302 "
1,44765,10,3,12,2,8,10,10,9.25,10,18,107,13,34,72,6,16,31,A,1,29,27,M,H,"$63,100 ",61,"$37,183 "
1,187707,10,3,6,1,2,15,13.67,12.17,13,18,54,6,14,21,2,6,10,E,1,29,,M,U,"$63,100 ",61,$0 
1,2396,5,2,3,1,1,10,7.5,8.33,10,18,21,16,21,21,5,7,6,N,0,36,,U,U,"$58,800 ",53,$0 
0,44795,,7,27,4,16,5,3,2.67,2.5,19,129,13,30,73,6,14,29,S,1,48,47,F,U,"$59,800 ",53,$0 
1,44800,5,6,25,2,10,11,8.5,7.32,8,18,98,10,32,66,5,16,28,S,1,37,,U,U,"$59,900 ",47,$0 
0,44818,,5,11,2,5,15,14.4,10.18,17.5,20,75,15,34,54,6,15,22,S,1,41,70,M,H,"$54,900 ",43,"$36,928 "
1,44817,5,8,14,6,11,5,3.75,3.36,3.67,18,64,14,33,47,6,16,19,S,1,41,79,F,H,"$53,400 ",43,"$36,928 "
1,40605,5,4,13,2,7,5,5.25,4.92,5.5,15,123,11,29,57,5,12,25,A,1,23,65,F,H,"$54,900 ",36,"$36,928 "
1,44847,10,4,13,1,7,10,8.5,9.77,7,15,119,15,32,73,6,13,26,S,1,36,45,M,H,"$42,800 ",29,"$35,890 "
0,44840,,4,7,1,4,100,67.5,56.43,60,19,68,15,36,56,6,17,22,A,0,45,62,M,H,"$72,600 ",31,"$35,890 "
1,44853,12,7,14,3,6,10,13,10.64,13.33,19,64,15,37,55,6,17,22,A,1,33,67,M,H,"$57,800 ",69,"$39,394 "
0,44893,,4,15,3,10,5,5,3.4,5,17,125,8,18,37,3,7,13,S,1,33,77,F,H,"$50,900 ",52,"$36,898 "
0,44888,,4,29,3,13,17,18.75,12.28,18.67,21,105,13,32,74,6,17,29,A,1,28,73,M,U,"$88,000 ",51,$0 
0,44900,,1,5,0,3,25,25,23,,27,81,10,29,47,4,4,21,A,0,37,67,M,H,"$98,800 ",60,"$44,917 "
0,44941,,3,4,2,2,5,10.67,9.25,10,15,24,15,26,24,6,11,9,N,0,36,59,F,H,"$90,800 ",40,"$39,172 "
0,44922,,1,2,0,1,22,22,16,,26,42,9,27,29,4,4,11,A,0,33,46,F,H,"$57,300 ",45,"$39,172 "
0,12954,,2,12,0,1,35,27.5,23.42,,6,52,33,53,64,10,10,22,A,0,0,87,M,H,"$52,100 ",0,"$33,284 "
0,45442,,4,7,3,6,15,16.75,18.14,15.67,17,73,13,30,50,6,15,21,A,1,33,85,U,U,"$49,200 ",49,$0 
1,45431,20,2,3,1,1,20,17.5,15,20,17,44,14,32,37,6,14,14,A,0,33,71,F,H,"$49,200 ",49,"$33,933 "
1,45503,5,5,15,1,6,10,7,5.13,5,19,105,13,34,64,6,16,26,S,1,33,60,M,H,"$61,600 ",42,"$36,911 "
0,45520,,2,3,0,1,20,15,11.67,,20,44,12,28,32,6,6,12,A,0,36,,F,U,"$70,900 ",35,"$40,685 "
0,45513,,3,25,3,17,11,11,11.4,11,15,93,11,19,43,3,7,18,E,1,37,,F,U,"$88,200 ",45,$0 
1,6351,10,2,18,2,10,11,10,7.78,10,17,125,12,30,70,6,15,30,S,1,28,,M,H,"$55,200 ",58,"$48,058 "
0,69394,,1,10,1,7,15,15,6.8,15,21,91,6,18,45,4,10,20,A,1,40,74,M,U,"$55,200 ",44,"$48,058 "
1,92772,5,1,12,1,8,25,35,18,35,17,128,14,36,74,6,17,33,A,1,14,57,F,H,"$86,000 ",55,"$48,058 "
1,45666,5,5,5,2,2,6,5.6,5.6,5.5,16,32,13,27,24,6,12,10,A,1,33,57,F,H,"$56,600 ",53,"$33,707 "
1,11284,4,5,30,3,16,10,7,6.37,6.33,4,112,30,40,82,7,12,25,S,1,26,65,M,H,"$93,400 ",52,"$33,707 "
1,45656,27,2,2,1,1,30,27.5,27.5,30,16,20,14,22,18,6,10,8,N,0,33,54,M,H,"$56,600 ",53,"$33,707 "
0,45722,,2,21,1,12,15,17.5,12.33,15,17,122,10,25,65,4,12,26,S,1,36,74,F,H,$0 ,47,$0 
0,36777,,8,12,5,6,9,8,7.92,7.8,15,41,14,33,35,6,16,15,S,1,20,,M,U,"$73,900 ",46,"$58,984 "
0,45758,,2,9,0,2,15,14,11.78,,26,64,11,32,51,5,5,21,A,0,20,77,M,H,"$125,000 ",40,"$59,458 "
0,45753,,8,12,6,8,8,6.38,6.17,5.83,24,44,11,33,38,6,17,17,S,1,20,35,M,H,"$107,900 ",42,"$59,458 "
0,45810,,3,8,3,7,25,16.67,11.88,16.67,21,100,14,31,50,6,15,23,A,1,28,84,F,U,"$90,900 ",42,$0 
1,45808,10,5,19,4,9,12,10.4,8.58,10.5,20,113,13,34,69,6,16,27,S,1,20,79,F,H,"$87,700 ",38,"$47,308 "
0,45798,,3,6,2,3,15,14,11.17,15,17,80,13,27,51,6,12,17,A,0,20,17,F,H,"$87,700 ",38,"$47,308 "
1,45824,25,4,10,2,4,21,19.5,15.8,18.5,19,64,13,33,53,6,17,22,A,0,11,40,M,H,"$138,500 ",47,"$77,368 "
1,45878,5,2,6,2,5,15,13,7.67,13,16,81,13,23,36,5,10,17,A,0,33,,F,U,"$80,000 ",0,$0 
0,12872,,7,15,5,7,5,5,4.87,5,16,52,20,41,55,6,17,19,A,0,33,,F,U,"$51,800 ",50,"$34,699 "
1,45873,8,3,13,2,5,5,10,6.54,10,18,130,8,24,43,4,12,18,A,1,33,81,F,H,"$40,200 ",44,"$34,699 "
1,45870,20,3,6,2,3,15,11.67,9.33,12.5,21,80,12,31,47,6,15,18,A,0,33,67,M,H,"$51,800 ",39,"$34,699 "
1,45258,5,3,4,1,1,10,10,10,10,15,23,14,22,19,6,10,8,N,0,8,52,F,U,"$51,800 ",42,$0 
0,190291,,5,21,3,13,4,4.8,4.1,5,18,81,4,12,30,2,6,14,E,1,16,61,U,U,"$86,300 ",50,$0 
1,38471,25,2,9,1,8,12,11,13.78,12,17,128,12,30,62,5,12,25,S,1,0,47,F,H,"$103,300 ",0,"$58,401 "
1,45338,25,3,8,3,5,15,15,13.13,15,23,87,12,32,55,6,17,24,A,1,16,27,F,H,"$69,800 ",37,"$47,080 "
1,45982,15,4,11,2,4,15,12.25,8,12.5,18,120,14,34,58,6,15,20,A,0,36,,F,H,"$60,700 ",38,"$54,367 "
1,45971,10,4,5,3,3,10,8.5,8,8,19,28,13,26,25,6,12,10,A,1,46,27,M,U,"$115,500 ",49,"$54,367 "
1,45968,18,2,2,2,2,15,12.5,12.5,12.5,16,20,14,22,19,6,10,8,N,0,46,36,F,H,"$115,500 ",49,"$54,367 "
0,9218,,4,28,4,20,16,15,9.25,15,18,126,13,33,92,6,17,34,A,1,37,81,M,H,"$70,500 ",43,"$43,072 "
1,27280,3,7,9,3,3,6,5.29,5,6,18,32,13,30,31,6,14,12,A,0,25,,U,U,"$62,400 ",26,$0 
1,894,40,10,34,5,12,21,19.4,17.06,18.8,4,64,35,55,105,11,22,36,S,1,27,57,M,H,"$86,000 ",40,"$48,783 "
0,46034,,2,4,2,2,10,12,10,12,18,24,15,25,24,6,11,9,N,0,24,21,F,H,"$131,900 ",40,"$48,783 "
0,36013,,5,6,2,2,12,8.8,8.33,11,16,32,14,29,27,6,13,11,A,0,32,53,F,H,"$94,300 ",24,"$43,804 "
0,182642,,1,5,1,3,40,40,22,40,16,64,15,34,52,6,15,20,A,0,48,,F,U,"$66,700 ",44,$0 
1,46129,10,1,7,1,5,16,16,13.14,16,19,92,15,33,60,6,14,24,A,1,49,,M,U,"$97,300 ",39,"$54,911 "
1,46165,15,3,22,1,12,12,11.33,11.18,12,16,113,15,35,77,6,15,29,S,1,37,73,F,H,"$91,600 ",49,"$41,086 "
1,46153,15,1,6,0,5,15,15,10,,18,111,10,23,48,4,4,22,A,0,36,35,F,H,"$93,300 ",39,"$41,086 "
